기준 년코드,기준_분기_코드,상권_코드,상권_코드_명,행정동명,시군구명,총_생활인구_수,남성,여성,10대,20대,30대,40대,50대,60대_이상,00~06시,06~11시,11~14시,14~17시,17~21시,21~24시,월요일,화요일,수요일,목요일,금요일,토요일,일요일
2021,4,2110392,발바닥공원,쌍문4동,도봉구,146229,61302,84927,27571,14176,17707,18751,23605,44420,31497,26320,18075,21135,30838,18364,20545,19931,19917,20009,19941,23124,22760
2021,4,2110391,샘말어린이공원,방학2동,도봉구,527695,244776,282920,74460,60320,56113,71271,88111,177419,167930,114759,55329,51361,71740,66575,73690,71812,72075,71925,71735,80179,86280
2021,4,2110390,방학초등학교,방학2동,도봉구,391933,177790,214143,63683,40107,44180,51790,64926,127250,83133,73290,51599,51707,79644,52560,55569,54853,54511,54837,55055,57856,59251
2021,4,2110389,한일병원,쌍문3동,도봉구,177772,82124,95647,18362,25281,27527,26519,28192,51889,30095,35538,25873,27904,37619,20744,24962,24704,24580,24678,24579,26684,27587
2021,4,2110388,도봉우체국,쌍문3동,도봉구,721216,319112,402103,124130,86670,92092,107970,108232,202123,211790,150187,75185,74780,111368,97906,102845,100367,100712,100161,100244,106460,110427
2021,4,2110387,쌍문초등학교,쌍문1동,도봉구,1339554,602721,736832,261249,155092,152729,200833,191670,377981,372651,269311,146011,146628,222980,181974,189786,185895,185507,185117,184981,200014,208254
2021,4,2110386,연산군묘,방학3동,도봉구,13584,6135,7451,3066,1129,1274,1868,2038,4210,3070,2669,1994,1902,2517,1434,1970,1873,1742,1746,1769,2215,2272
2021,4,2110385,효문고등학교,쌍문1동,도봉구,180217,76742,103475,23619,23265,23277,26367,26972,56717,67789,35571,15443,12757,22391,26266,26324,25569,25470,25399,25364,25518,26573
2021,4,2110384,문이교,쌍문1동,도봉구,136763,59925,76840,16820,13860,15637,23250,24565,42631,32297,27665,17134,17817,24085,17766,19709,19315,19460,19077,19120,19704,20379
2021,4,2110383,덕성여대시반거리,쌍문1동,도봉구,77474,31310,46163,11177,14985,9602,11898,9326,20487,14048,15939,12721,11845,14407,8513,11150,11107,11161,10971,11082,10908,11096
2021,4,2110382,솔밭공원역 1번,쌍문1동,도봉구,269519,120312,149207,35066,31337,34972,42377,43029,82739,51543,53074,38161,38487,54694,33562,38438,38166,38144,37947,38084,38709,40030
2021,4,2110381,번동주공2단지,번3동,강북구,172020,76849,95171,27174,16518,16514,25874,26148,59791,36177,37810,23964,24538,31171,18361,24108,23857,23813,23653,23657,25928,27003
2021,4,2110380,강북문화정보도서관,번2동,강북구,720269,330728,389541,114382,86978,96297,101674,109167,211770,225399,152356,74256,70983,104477,92798,101574,99567,98926,98917,99120,108045,114121
2021,4,2110379,KT&G 북부지사,번1동,강북구,155071,74797,80275,22903,16449,16982,23135,25606,49996,22562,32810,22552,21856,37503,17790,20844,20070,20022,20040,20682,25590,27822
2021,4,2110378,송중동주민센터,송중동,강북구,616218,272680,343537,72236,87096,89762,96601,94195,176327,177587,121070,62614,64499,101820,88628,88843,87157,86920,86957,87326,88491,90524
2021,4,2110377,미아사거리역 3번,송중동,강북구,464869,211424,253446,67983,65515,62730,72502,75257,120882,92314,88792,68158,70394,90978,54234,66281,66411,67387,66829,67976,67649,62335
2021,4,2110376,수송초등학교,번1동,강북구,2898104,1363287,1534817,351656,464140,401723,456058,446553,777976,863705,586956,301562,302580,442179,401124,415628,411696,411789,409705,411608,415048,422631
2021,4,2110375,서울북부고용노동지청,번2동,강북구,724007,335455,388551,84554,105642,94247,113597,116605,209364,207710,150414,79478,78099,111587,96719,102306,103029,101848,102815,101507,104505,107996
2021,4,2110374,송중초등학교,송중동,강북구,2213772,1002218,1211554,314292,270411,261294,345588,379915,642270,615512,461759,255188,247030,344732,289551,317077,317728,318588,316537,316508,312305,315030
2021,4,2110373,수유역 2번,번1동,강북구,1167807,544507,623300,106493,223097,179703,179886,182039,296591,316056,238356,136124,138010,189311,149948,166917,166277,165222,166277,165361,166422,171328
2021,4,2110372,강북중학교,수유3동,강북구,1498832,688343,810489,150022,250991,235263,224282,238966,399306,397046,313495,179173,176294,242017,190807,214053,212107,213232,212194,213462,216456,217328
2021,4,2110371,삼양입구사거리,송천동,강북구,579194,254591,324603,72508,62938,70615,85072,99565,188494,154173,123310,66847,66611,92774,75479,82759,82232,82759,81833,81899,83054,84658
2021,4,2110370,도봉세무서,송천동,강북구,866203,405350,460852,100172,92382,106919,133411,163962,269357,174820,162758,116498,124235,174273,113621,126522,126082,125408,124518,123825,121203,118646
2021,4,2110369,성신여대운정그린캠퍼스,미아동,강북구,1041928,483313,558614,81017,223235,159210,147564,162976,267926,306003,217217,111068,110012,155645,141986,147750,147099,146812,146512,145314,151709,156734
